traffic54,0,{'sql_idx': 'traffic54', 'res': 1, 'info': ''}
traffic55,0,{'sql_idx': 'traffic55', 'res': 0, 'info': ''}
traffic56,0,{'sql_idx': 'traffic56', 'res': 1, 'info': ''}
traffic57,2,{'sql_idx': 'traffic57', 'res': 1, 'info': ''}
traffic58,0,{'sql_idx': 'traffic58', 'res': 1, 'info': ''}
traffic59,10,{'sql_idx': 'traffic59', 'res': 0, 'info': ''}
traffic60,0,{'sql_idx': 'traffic60', 'res': 1, 'info': ''}
traffic61,0,{'sql_idx': 'traffic61', 'res': 1, 'info': ''}
traffic62,0,{'sql_idx': 'traffic62', 'res': 1, 'info': ''}
traffic63,0,{'sql_idx': 'traffic63', 'res': 1, 'info': ''}
traffic64,0,{'sql_idx': 'traffic64', 'res': 1, 'info': ''}
traffic65,1,{'sql_idx': 'traffic65', 'res': 0, 'info': ''}
traffic66,0,{'sql_idx': 'traffic66', 'res': 1, 'info': ''}
traffic67,0,{'sql_idx': 'traffic67', 'res': 1, 'info': ''}
